Designator,Mid X,Mid Y,Layer,Rotation
C1,157,-104.5,top,-90
C2,161.5,-104.5,top,-90
D1,165.5,-94,top,180
R1,160,-95.5,top,-90
R2,157,-95.5,top,-90
R3,169,-94,top,0
R4,154,-99,top,-90
R5,154,-95.5,top,-90
U1,158,-100.5,top,0
